Date,Open,High,Low,Close,Adj Close,Volume
1/2/2013,73.48999786,73.76000214,71.69000244,72.48999786,71.35703278,800500
1/3/2013,72.84999847,73.44000244,72.12999725,72.48999786,71.35703278,520600
1/4/2013,72.75,73.63999939,72.38999939,73.62000275,72.4693985,615000
1/7/2013,73.15000153,73.80000305,73.15000153,73.37000275,72.22330475,1054400
1/8/2013,73.16999817,73.66000366,72.13999939,72.16999817,71.04205322,840000
1/9/2013,72.38999939,73.22000122,72.22000122,72.38999939,71.25862122,537600
1/10/2013,72.55999756,72.55999756,71.51000214,71.76000214,70.63848114,583200
1/11/2013,72.08000183,73.73999786,71.48000336,72.29000092,71.16018677,780200
1/14/2013,72.01999664,72.83000183,71.90000153,72.58000183,71.44565582,663200
1/15/2013,72.36000061,73.72000122,71.51999664,73.63999939,72.48908234,442000
1/16/2013,73.81999969,73.81999969,72.98000336,73.36000061,72.2134552,368700
1/17/2013,73.15000153,74.23000336,73.09999847,73.41999817,72.27252197,449700
1/18/2013,73.43000031,73.77999878,73.25,73.75,72.59738922,266400
1/22/2013,73.75,74.44000244,73.61000061,74.08000183,72.92220306,418300
1/23/2013,73.86000061,74.94000244,73.77999878,74.75,73.5817337,409400
1/24/2013,75,75.48000336,74.30999756,75.01000214,73.83766174,588000
1/25/2013,75.01000214,75.65000153,74.77999878,75.25,74.0739212,702300
1/28/2013,75.41999817,76.70999908,75.25,75.94000244,74.75314331,1043500
1/29/2013,75.83000183,75.83000183,74.48999786,74.56999969,73.40454865,852000
1/30/2013,74.41000366,74.88999939,73.5,73.52999878,72.3808136,790700
1/31/2013,73.47000122,74.05000305,73.04000092,73.51999664,72.37094879,1019200
2/1/2013,73.80000305,74.04000092,72.95999908,73.66000366,72.5087738,952900
2/4/2013,73.30999756,73.72000122,72.13999939,72.23000336,71.10112762,1063400
2/5/2013,72.47000122,73.38999939,72.41999817,73.26999664,72.12485504,759000
2/6/2013,72.84999847,73.43000031,72.52999878,72.90000153,71.76064301,848200
2/7/2013,79.84999847,81,73.66999817,77.13999939,75.93438721,5130000
2/8/2013,78.33999634,79.72000122,78.01000214,78.90000153,77.66686249,1298200
2/11/2013,78.65000153,78.91000366,77.23000336,78.38999939,77.16485596,758100
2/12/2013,78.38999939,78.62999725,77.51000214,78.59999847,77.37152863,876100
2/13/2013,78.90000153,79.12999725,77.84999847,78.97000122,77.73579407,1038500
2/14/2013,78.66000366,79.72000122,78.58999634,78.83999634,77.60783386,1005400
2/15/2013,78.83000183,79.18000031,77.93000031,79,77.76530457,1247100
2/19/2013,79.12000275,81.44000244,78.56999969,80.72000122,79.45844269,1730700
2/20/2013,80.41999817,80.94000244,79.38999939,79.5,78.25750732,648700
2/21/2013,79.26000214,80.05000305,78.55999756,79.05999756,77.82435608,915200
2/22/2013,79.19999695,79.45999908,78.62999725,79.20999908,77.97201538,538200
2/25/2013,79.45999908,79.73999786,78.36000061,78.36000061,77.13528442,579900
2/26/2013,78.41999817,78.93000031,76.41999817,77.15000153,75.9442215,990200
2/27/2013,77.29000092,77.58000183,76.22000122,77.30000305,76.09188843,720800
2/28/2013,77.34999847,77.58999634,76.33999634,76.33999634,75.14688873,1180800
3/1/2013,76.37000275,76.66000366,75.62000275,76.37000275,75.17642212,1272700
3/4/2013,76.23999786,77.25,76.09999847,77.01999664,75.81625366,1098400
3/5/2013,77.06999969,77.48999786,76.72000122,76.94999695,75.74736023,1288600
3/6/2013,77.09999847,77.23999786,75.97000122,76.18000031,74.98936462,1255700
3/7/2013,76.04000092,76.75,75.69999695,76.22000122,75.02873993,965500
3/8/2013,76.44000244,77.16000366,75.62999725,76.83999634,75.63906097,736400
3/11/2013,76.87999725,78.05999756,76.83999634,77.52999878,76.31828308,689400
3/12/2013,77.26000214,77.66000366,76.88999939,77.36000061,76.15093231,660600
3/13/2013,77.54000092,78.84999847,77.31999969,78.76999664,77.53888702,645000
3/14/2013,78.90000153,79.12000275,77.36000061,77.66999817,76.45609283,763300
3/15/2013,77.90000153,79.58999634,77.41000366,79.56999969,78.32639313,1237200
3/18/2013,79.08999634,80.76000214,79.01000214,80.69999695,79.43872833,1219200
3/19/2013,80.63999939,80.94000244,79.76999664,80.06999969,78.81858063,1370300
3/20/2013,80.06999969,80.69999695,79.80000305,80.22000122,79.02545929,730100
3/21/2013,79.91000366,80.72000122,79.84999847,80.02999878,78.83827209,616300
3/22/2013,80.12000275,80.44000244,78.97000122,79.80999756,78.62155914,586900
