Date,Open,High,Low,Close,Adj Close,Volume
1/2/2013,77.73000336,77.95999908,73.34999847,74.01999664,74.01999664,3113800
1/3/2013,73.58999634,76.05000305,73.36000061,75.08999634,75.08999634,1801800
1/4/2013,72.34999847,72.55000305,70.26999664,71.94999695,71.94999695,6142700
1/7/2013,71.19000244,72.01999664,70.09999847,71.09999847,71.09999847,2564400
1/8/2013,71.26999664,71.66999817,70.36000061,71.62999725,71.62999725,2226100
1/9/2013,72.40000153,72.83999634,70.81999969,71.04000092,71.04000092,1543400
1/10/2013,71.37000275,71.37000275,69.80000305,70.58000183,70.58000183,2057700
1/11/2013,70.87000275,71.19000244,69.87000275,70.83999634,70.83999634,1568100
1/14/2013,70.79000092,72.59999847,70.79000092,72.30000305,72.30000305,3806800
1/15/2013,68.30000305,69.80999756,66.30000305,69.47000122,69.47000122,11870100
1/16/2013,69.61000061,70,67.40000153,67.44000244,67.44000244,4815800
1/17/2013,68.02999878,68.58999634,67.09999847,68.15000153,68.15000153,2171300
1/18/2013,68.05999756,68.15000153,66.33000183,66.80000305,66.80000305,3041100
1/22/2013,66.5,66.80000305,65.94999695,66.12999725,66.12999725,2730400
1/23/2013,65.47000122,66.56999969,65.30999756,66.20999908,66.20999908,1906700
1/24/2013,66,67.68000031,65.81999969,67.59999847,67.59999847,2657200
1/25/2013,67.43000031,69.95999908,67.38999939,69.83000183,69.83000183,2763500
1/28/2013,69.84999847,70.15000153,69,70,70,2685100
1/29/2013,69.30000305,70.19999695,69.18000031,69.83000183,69.83000183,1957700
1/30/2013,69.66000366,70.05000305,69.19999695,69.37000275,69.37000275,2060900
1/31/2013,69.47000122,70.11000061,68.77999878,69,69,1455100
2/1/2013,69.23999786,69.44999695,67.44000244,67.86000061,67.86000061,2958100
2/4/2013,67.88999939,67.88999939,66.65000153,66.81999969,66.81999969,2105400
2/5/2013,67.38999939,67.80999756,66.75,67.20999908,67.20999908,1195300
2/6/2013,67.16999817,68.34999847,67,68.08000183,68.08000183,1357800
2/7/2013,67.66999817,67.98999786,66.98000336,67.62999725,67.62999725,1373000
2/8/2013,67.77999878,68.47000122,67.58999634,68.04000092,68.04000092,1102000
2/11/2013,67.86000061,67.91999817,66.54000092,67.34999847,67.34999847,2830100
2/12/2013,67.70999908,68.86000061,67.16000366,67.55999756,67.55999756,1790100
2/13/2013,67.40000153,68.05999756,66.80999756,67.27999878,67.27999878,1827800
2/14/2013,66.83000183,67.13999939,66,66.98999786,66.98999786,2245500
2/15/2013,67.09999847,68.23999786,66.80999756,67.84999847,67.84999847,2986200
2/19/2013,68.27999878,69.79000092,68.05999756,69.75,69.75,2540700
2/20/2013,69.30999756,70.77999878,68.08000183,68.16000366,68.16000366,2255200
2/21/2013,67.61000061,67.76999664,66.34999847,66.83999634,66.83999634,1827400
2/22/2013,67.33999634,67.66999817,66.06999969,67.05000305,67.05000305,2026400
2/25/2013,67.34999847,68.23000336,66.72000122,66.73000336,66.73000336,1934700
2/26/2013,67.51000214,67.66000366,65.19000244,65.97000122,65.97000122,2696800
2/27/2013,66.04000092,68.05999756,65.69999695,67.72000122,67.72000122,2283800
2/28/2013,67.79000092,68.77999878,67,67.05000305,67.05000305,1429100
3/1/2013,66.51999664,67.51999664,65.75,67.5,67.5,2193300
